Wall time,Step,Value
1716860568.4581714,6948,637.3101806640625
1716860570.8958561,8685,518.4469604492188
1716860584.2404711,19107,778.54638671875
1716860593.5256586,26055,755.0799560546875
1716860595.7849514,27792,1073.6043701171875
1716860602.049372,33003,922.051513671875
1716860604.055973,34740,896.4793701171875
1716860606.122039,36477,855.2237548828125
1716860610.137031,39951,790.8993530273438
1716860612.3757813,41688,759.6419067382812
1716860619.0527852,46899,684.2349243164062
1716860621.3456225,48636,661.4786987304688
1716860646.478127,67743,556.2526245117188
1716860650.7668757,71217,541.1182861328125
1716860666.1634865,83376,472.87628173828125
1716860668.3062863,85113,465.18756103515625
1716860670.5690968,86850,456.95184326171875
1716860674.9312434,90324,468.9485168457031
1716860681.1274142,95535,452.39581298828125
1716860687.1009984,100746,438.35107421875
1716860693.0731223,105957,427.2332458496094
1716860695.0747972,107694,425.65924072265625
1716860697.0775294,109431,421.1934509277344
1716860699.0620565,111168,416.0710754394531
1716860703.03258,114642,408.03125
1716860705.0577168,116379,409.72869873046875
1716860707.0817997,118116,412.297119140625
1716860709.088419,119853,413.78289794921875
1716860713.1432688,123327,414.4519958496094
1716860715.1575248,125064,409.84564208984375
1716860727.1730437,135486,388.6969909667969
1716860731.2272563,138960,392.95941162109375
1716860737.2700026,144171,388.8262939453125
1716860743.3307958,149382,386.9806823730469
1716860751.3827324,156330,398.7651672363281
1716860771.5808952,173700,414.8494873046875
1716860779.682952,180648,395.75286865234375
1716860785.7917628,185859,398.7460021972656
1716860787.8022566,187596,351.0650329589844
1716860791.921649,191070,350.96490478515625
1716860809.2855854,203229,273.3735046386719
1716860820.2021937,211914,271.781982421875
1716860828.10942,218862,296.15777587890625
1716860830.0893908,220599,296.6002502441406
1716860834.0461774,224073,300.9769592285156
1716860837.99933,227547,303.9875183105469
1716860849.8459897,237969,285.9439392089844
1716860851.824725,239706,286.7455139160156
1716860865.6388726,251865,300.83782958984375
1716860869.6406128,255339,305.75042724609375
1716860871.6154497,257076,308.4385681152344
1716860877.6055837,262287,297.4859619140625
1716860891.458274,274446,316.7826843261719
1716860897.3871453,279657,317.3198547363281
1716860901.3397915,283131,326.2714538574219
1716860905.2885742,286605,333.7190246582031
1716860917.1111393,297027,336.63519287109375
1716860919.0888877,298764,337.93133544921875
1716860921.0665514,300501,337.7867431640625
1716860930.9400604,309186,380.6920166015625
1716860938.8329916,316134,384.8194274902344
1716860944.7378154,321345,384.2554016113281
1716860946.7094128,323082,384.34185791015625
1716860948.6830559,324819,381.4708251953125
1716860956.568913,331767,339.3983154296875
1716860958.5393987,333504,351.0704650878906
1716860960.5113044,335241,353.228759765625
1716860974.3336651,347400,354.94683837890625
1716860980.2527957,352611,357.14166259765625
1716860982.2222984,354348,458.0735168457031
1716860984.1947055,356085,465.7846374511719
1716860986.1611238,357822,465.3985595703125
1716860990.1037328,361296,461.5531005859375
1716860997.9773314,368244,463.811767578125
1716861001.9226565,371718,468.23236083984375
1716861005.857624,375192,469.8452453613281
1716861013.7488918,382140,478.9690856933594
1716861015.7252123,383877,484.1676940917969
1716861017.700822,385614,502.7247619628906
1716861023.6261384,390825,497.5059509277344
1716861033.5689871,399510,510.2287902832031
1716861053.2688587,416880,552.01611328125
1716861057.214874,420354,553.6767578125
1716861063.1289527,425565,580.07421875
1716861065.12416,427302,586.2098999023438
1716861067.097743,429039,584.3226318359375
1716861083.0026455,442935,601.2841796875
1716861090.9736934,449883,614.7189331054688
1716861092.9723213,451620,614.573486328125
1716861094.974124,453357,610.4205932617188
1716861116.9731855,472464,622.2924194335938
1716861122.9818728,477675,625.3094482421875
