Wall time,Step,Value
1717509310.871455,6948,1152.591552734375
1717509311.5517848,8685,1529.5491943359375
1717509315.7679312,19107,1699.48779296875
1717509318.4987621,26055,1567.546875
1717509319.1809082,27792,1592.1259765625
1717509321.2430527,33003,1552.09130859375
1717509321.9299376,34740,1540.424072265625
1717509322.6249833,36477,1586.5115966796875
1717509323.9989913,39951,1610.8743896484375
1717509324.7034385,41688,1626.883056640625
1717509326.8136108,46899,1652.144287109375
1717509327.503125,48636,1708.970703125
1717509335.0456164,67743,1596.943359375
1717509336.4383478,71217,1593.0858154296875
1717509341.2254534,83376,1583.7747802734375
1717509341.9117,85113,1587.802978515625
1717509342.6053574,86850,1589.303955078125
1717509344.0217752,90324,1575.114013671875
1717509346.0746481,95535,1590.3182373046875
1717509348.1212413,100746,1573.8974609375
1717509350.1808913,105957,1600.3414306640625
1717509350.8572989,107694,1595.8094482421875
1717509351.53872,109431,1582.999267578125
1717509352.2172835,111168,1569.610107421875
1717509353.6068802,114642,1574.9273681640625
1717509354.3080294,116379,1566.0821533203125
1717509355.023572,118116,1557.20556640625
1717509355.9161608,119853,1554.0533447265625
1717509357.7548273,123327,1554.7589111328125
1717509358.8185,125064,1551.993896484375
1717509363.6318557,135486,1533.4984130859375
1717509365.6174958,138960,1526.2017822265625
1717509368.4284608,144171,1520.292724609375
1717509371.1759853,149382,1522.2841796875
1717509374.648138,156330,1507.862060546875
1717509382.0059683,173700,1481.8707275390625
1717509384.7812922,180648,1503.0540771484375
1717509386.9763806,185859,1472.111083984375
1717509387.8285072,187596,1468.055908203125
1717509389.287915,191070,1454.44580078125
1717509394.2443721,203229,1489.3731689453125
1717509397.9768944,211914,1458.2142333984375
1717509400.7166722,218862,1461.8931884765625
1717509401.4048815,220599,1440.1654052734375
1717509402.8087504,224073,1441.380859375
1717509404.1813207,227547,1442.77490234375
1717509408.3802297,237969,1455.3770751953125
1717509409.0907345,239706,1457.21728515625
1717509413.9085116,251865,1454.99267578125
1717509415.3673372,255339,1485.345703125
1717509416.0629203,257076,1488.07373046875
1717509418.1444921,262287,1499.4232177734375
1717509423.031164,274446,1500.8668212890625
1717509425.1436477,279657,1484.7750244140625
1717509426.5504713,283131,1489.538330078125
1717509427.9262254,286605,1476.963623046875
1717509432.1502783,297027,1477.1126708984375
1717509432.8545685,298764,1481.2601318359375
1717509433.5552015,300501,1487.3148193359375
1717509437.0327928,309186,1467.8414306640625
1717509439.8422515,316134,1466.8822021484375
1717509441.937794,321345,1463.1632080078125
1717509442.6222866,323082,1461.744384765625
