Wall time,Step,Value
1717507187.9129958,6948,1435.755615234375
1717507188.5842378,8685,1410.5206298828125
1717507192.603358,19107,1399.93115234375
1717507195.275424,26055,1522.1368408203125
1717507195.9490561,27792,1461.89892578125
1717507197.9476454,33003,1510.4571533203125
1717507198.6125484,34740,1471.016845703125
1717507199.2832026,36477,1542.4739990234375
1717507200.625892,39951,1493.4072265625
1717507201.324876,41688,1620.5887451171875
1717507203.5676255,46899,1627.90380859375
1717507204.267158,48636,1658.852294921875
1717507212.41839,67743,1604.0533447265625
1717507213.9182863,71217,1611.3572998046875
1717507219.0764196,83376,1561.7735595703125
1717507219.7824566,85113,1603.7332763671875
1717507220.4953976,86850,1589.16357421875
1717507221.9409416,90324,1612.645263671875
1717507224.1340327,95535,1602.5606689453125
1717507226.4579244,100746,1641.766845703125
1717507228.798384,105957,1644.01220703125
1717507229.5494342,107694,1628.396240234375
1717507230.3093045,109431,1626.6646728515625
1717507231.1774325,111168,1620.118896484375
1717507232.733961,114642,1604.3212890625
1717507233.4540334,116379,1592.5921630859375
1717507234.161465,118116,1579.9970703125
1717507234.8700962,119853,1574.9710693359375
1717507236.289202,123327,1585.102294921875
1717507236.9862387,125064,1587.08740234375
1717507241.3568184,135486,1570.9820556640625
1717507242.7781467,138960,1549.0308837890625
1717507244.8776996,144171,1523.0419921875
1717507247.0458977,149382,1510.612548828125
1717507249.9654987,156330,1524.926025390625
1717507257.507587,173700,1506.7362060546875
1717507260.470331,180648,1516.23046875
1717507262.6304731,185859,1530.3431396484375
1717507263.4329627,187596,1510.0123291015625
1717507265.040484,191070,1519.2733154296875
1717507270.1883771,203229,1490.4580078125
1717507273.8584843,211914,1457.95263671875
1717507276.7757068,218862,1436.697998046875
1717507277.5156353,220599,1433.8878173828125
1717507279.0896347,224073,1429.4478759765625
1717507280.7695284,227547,1434.13818359375
1717507285.0847666,237969,1380.2353515625
1717507285.8588612,239706,1388.004638671875
1717507290.8814836,251865,1385.50048828125
1717507292.3556426,255339,1367.9549560546875
1717507293.0739458,257076,1343.4986572265625
1717507295.3424737,262287,1316.3509521484375
1717507300.3379583,274446,1283.041748046875
1717507302.4745994,279657,1258.0794677734375
1717507303.88544,283131,1265.4420166015625
1717507305.2666383,286605,1268.460693359375
1717507309.4285538,297027,1275.117919921875
1717507310.1177425,298764,1279.586181640625
1717507310.8059943,300501,1278.19384765625
1717507314.5956986,309186,1285.25146484375
1717507317.6521118,316134,1316.6387939453125
1717507320.557644,321345,1405.4725341796875
1717507321.890788,323082,1408.981689453125
1717507322.8840725,324819,1399.2464599609375
1717507326.2937505,331767,1398.2567138671875
1717507327.0177062,333504,1393.4849853515625
1717507327.8313463,335241,1411.51416015625
1717507333.0181384,347400,1459.8577880859375
1717507335.1546273,352611,1428.431884765625
1717507335.9284382,354348,1416.8272705078125
1717507336.659041,356085,1421.8797607421875
1717507337.4064739,357822,1425.31494140625
1717507338.9698637,361296,1418.971923828125
1717507342.3047147,368244,1440.1156005859375
1717507343.729628,371718,1448.135009765625
1717507345.165119,375192,1483.974609375
1717507348.1950567,382140,1497.608154296875
1717507348.901914,383877,1500.462646484375
1717507349.662954,385614,1507.8646240234375
1717507352.0861673,390825,1484.670654296875
1717507355.6341336,399510,1530.5762939453125
1717507364.3198566,416880,1601.01220703125
1717507365.830366,420354,1627.891357421875
1717507367.9594927,425565,1654.23828125
1717507368.745947,427302,1653.891357421875
1717507369.4772923,429039,1653.099365234375
1717507375.913076,442935,1672.1058349609375
1717507379.3701346,449883,1687.6260986328125
1717507380.1095765,451620,1696.076416015625
1717507380.8543575,453357,1710.5330810546875
1717507389.9552085,472464,1771.5894775390625
1717507392.152259,477675,1757.6075439453125
1717507393.5907476,481149,1756.2347412109375
1717507395.2649179,484623,1765.8250732421875
1717507397.2016487,488097,1783.39404296875
1717507398.6785975,491571,1708.728759765625
1717507400.877327,496782,1691.615478515625
1717507403.1410623,501993,1703.0665283203125
1717507404.6141222,505467,1704.1834716796875
1717507408.301801,514152,1684.8028564453125
1717507409.822579,517626,1699.6510009765625
1717507410.6267679,519363,1685.2598876953125
1717507416.5438328,533259,1746.230712890625
1717507418.0041714,536733,1758.259521484375
1717507420.9977448,543681,1777.3665771484375
1717507423.8988216,550629,1806.7427978515625
1717507425.308169,554103,1815.4246826171875
1717507426.053637,555840,1848.20556640625
1717507428.370323,561051,1866.060302734375
1717507438.9099452,587106,1941.935546875
1717507439.620046,588843,1960.1865234375
1717507443.1984253,597528,1948.15185546875
1717507444.6287086,601002,1946.207275390625
1717507445.3528514,602739,1961.4312744140625
1717507449.8368738,613161,1969.3798828125
1717507451.3857958,616635,2000.5452880859375
1717507454.6490376,623583,1992.8121337890625
1717507457.9809368,630531,1979.7908935546875
1717507458.7158384,632268,1970.14013671875
1717507459.4770584,634005,1968.574462890625
1717507460.2331572,635742,1977.7059326171875
1717507460.9591389,637479,1950.0927734375
1717507461.7156951,639216,1921.138671875
1717507469.7131016,658323,1968.3045654296875
1717507475.3754127,672219,2010.430419921875
1717507478.261227,679167,2023.0235595703125
1717507479.6763144,682641,2030.3868408203125
1717507481.076567,686115,2059.382568359375
1717507483.1688876,691326,2056.2783203125
1717507486.73296,700011,2043.0897216796875
1717507488.1564486,703485,2058.263671875
1717507491.7330875,712170,2025.13427734375
1717507494.8052688,719118,2077.388916015625
1717507495.5334108,720855,2095.982421875
1717507496.2479112,722592,2068.84228515625
1717507500.4611225,733014,2077.828857421875
1717507501.165829,734751,2092.765625
1717507503.3058345,739962,2051.504150390625
1717507504.030217,741699,2022.9271240234375
1717507506.8467984,748647,2038.7508544921875
1717507510.5158186,757332,1960.5650634765625
1717507511.2359855,759069,1974.4998779296875
1717507512.1164594,760806,1955.8037109375
1717507513.5814815,764280,1968.351806640625
1717507514.9856577,767754,1956.951416015625
1717507516.465628,771228,1947.603515625
1717507517.189976,772965,1948.5545654296875
1717507518.5912426,776439,1923.8133544921875
1717507521.412725,783387,1942.47998046875
1717507522.8000298,786861,1917.4698486328125
1717507525.5739543,793809,1952.594970703125
1717507528.4689505,800757,2002.785400390625
1717507529.2145784,802494,2013.1253662109375
1717507532.0061805,809442,2039.418212890625
1717507532.6968248,811179,2049.95703125
1717507534.0707133,814653,2013.1348876953125
1717507535.4758344,818127,1991.7572021484375
1717507538.3917818,825075,1997.988037109375
1717507539.0888994,826812,2025.590087890625
1717507542.6474519,835497,2046.7830810546875
1717507543.3473375,837234,2056.088134765625
1717507545.4066322,842445,2050.732177734375
1717507547.5073838,847656,2061.894287109375
1717507548.2097943,849393,2062.955078125
1717507548.900913,851130,2061.4775390625
1717507550.2730699,854604,2054.135009765625
1717507552.5232913,859815,2027.56689453125
1717507555.4359124,866763,2042.58984375
1717507559.3826804,873711,2040.5587158203125
1717507560.4054945,875448,2044.316650390625
1717507566.8748887,885870,2039.9366455078125
1717507567.8537197,887607,2024.8306884765625
1717507568.7495246,889344,2017.920654296875
1717507569.6456301,891081,1998.5482177734375
1717507570.6160102,892818,1990.5247802734375
1717507571.5456023,894555,2000.6053466796875
1717507573.898306,899766,1975.5946044921875
1717507575.0490592,901503,1964.8524169921875
1717507576.1581416,903240,1998.06884765625
1717507586.7813187,927558,1994.9681396484375
1717507587.6251018,929295,1988.0208740234375
1717507588.9926636,932769,1981.2745361328125
1717507589.6859488,934506,1982.68505859375
1717507590.3733919,936243,1971.74169921875
1717507591.7474039,939717,2003.7523193359375
1717507593.1132874,943191,2019.7646484375
1717507594.4653857,946665,2019.72119140625
1717507595.8060403,950139,2072.416748046875
1717507596.567462,951876,2074.223388671875
1717507598.653272,957087,2128.285888671875
1717507599.9822369,960561,2145.64892578125
1717507602.120114,965772,2101.61181640625
1717507602.8862588,967509,2105.346923828125
1717507606.975086,977931,2071.015625
1717507607.6636462,979668,2067.08935546875
1717507608.4446092,981405,2052.652587890625
1717507611.2985797,988353,2078.292236328125
1717507613.7105737,993564,2059.2919921875
1717507615.0655112,997038,2114.205322265625
1717507617.1403613,1002249,2042.7484130859375
1717507619.9321854,1009197,2059.765869140625
1717507622.7542334,1016145,2061.21435546875
1717507623.4735022,1017882,2047.991455078125
1717507625.8675935,1023093,2065.437744140625
1717507627.3685026,1026567,2062.6748046875
1717507628.1028256,1028304,2044.5242919921875
1717507630.3391485,1033515,2036.813720703125
1717507631.7412767,1036989,2027.7027587890625
1717507633.2182372,1040463,2036.371826171875
1717507633.9089527,1042200,2030.705078125
1717507636.3227153,1047411,2035.4337158203125
1717507637.2271826,1049148,2029.9388427734375
1717507641.782543,1057833,2046.999267578125
1717507645.7528727,1066518,2085.60986328125
1717507646.427445,1068255,2062.918212890625
1717507647.8175976,1071729,2073.27734375
1717507650.5065293,1078677,2128.571044921875
1717507651.8575299,1082151,2130.41015625
1717507652.5389547,1083888,2142.052734375
1717507654.841443,1089099,2136.312255859375
1717507656.9977863,1092573,2175.3359375
1717507657.789851,1094310,2179.0908203125
1717507660.738151,1101258,2175.592529296875
1717507663.7737205,1108206,2212.227294921875
1717507666.1550598,1113417,2203.933837890625
1717507666.947014,1115154,2194.067626953125
1717507667.8063338,1116891,2203.488037109375
1717507668.5770488,1118628,2214.93212890625
1717507669.3824368,1120365,2207.722412109375
1717507673.4646318,1129050,2178.836181640625
1717507675.3658934,1132524,2189.0966796875
1717507676.1849508,1134261,2199.556640625
1717507677.7286322,1137735,2188.46044921875
1717507678.5263183,1139472,2190.757080078125
1717507680.920084,1144683,2208.398193359375
1717507682.4621832,1148157,2201.8876953125
1717507687.7402868,1160316,2291.21728515625
1717507690.0106251,1165527,2307.5107421875
1717507693.76772,1174212,2309.572265625
1717507694.5262249,1175949,2304.684326171875
1717507697.610298,1182897,2288.4423828125
1717507700.6732419,1189845,2374.570068359375
1717507702.972275,1195056,2392.599365234375
1717507707.0063117,1203741,2417.440185546875
1717507708.9420695,1207215,2422.863525390625
1717507710.8899972,1210689,2559.27197265625
1717507711.714523,1212426,2552.004150390625
1717507713.244578,1215900,2589.77490234375
1717507715.6005993,1221111,2582.13232421875
1717507717.8393042,1226322,2549.958984375
1717507721.851969,1235007,2504.6826171875
1717507725.6550715,1243692,2523.40185546875
1717507727.0356636,1247166,2469.065185546875
1717507729.3782358,1252377,2440.483642578125
1717507730.1553116,1254114,2455.04833984375
1717507731.819735,1257588,2444.897705078125
1717507733.3683724,1261062,2449.447998046875
1717507734.1034606,1262799,2455.669189453125
1717507735.5284746,1266273,2431.9423828125
1717507736.2431636,1268010,2437.340576171875
1717507737.685074,1271484,2460.156982421875
1717507738.4060383,1273221,2454.92822265625
1717507739.1227012,1274958,2436.510986328125
1717507742.923014,1283643,2508.752197265625
1717507746.0316675,1290591,2570.541748046875
1717507747.507915,1294065,2572.6376953125
1717507755.9746137,1314909,2527.360107421875
1717507757.3956535,1318383,2541.106689453125
1717507761.5798116,1328805,2538.242919921875
1717507762.2844794,1330542,2556.077880859375
1717507764.344786,1335753,2634.7900390625
1717507765.0293195,1337490,2634.343505859375
1717507767.0935695,1342701,2648.027587890625
1717507769.2237816,1347912,2615.04541015625
1717507769.9358017,1349649,2590.2998046875
1717507771.3762803,1353123,2588.848876953125
1717507772.0666363,1354860,2597.633056640625
1717507772.7439737,1356597,2568.47265625
1717507773.419096,1358334,2552.29931640625
1717507774.1073475,1360071,2567.036376953125
1717507778.3669288,1370493,2546.445068359375
1717507780.5216002,1375704,2547.868408203125
1717507789.8649974,1398285,2401.41455078125
1717507790.7723832,1400022,2419.307861328125
1717507791.608447,1401759,2433.386474609375
1717507792.4522014,1403496,2434.821533203125
1717507795.0767121,1408707,2446.9775390625
1717507801.3625422,1422603,2508.1474609375
1717507802.0541937,1424340,2503.43505859375
1717507807.578724,1438236,2509.79541015625
1717507808.2655349,1439973,2498.6357421875
1717507811.0231462,1446921,2485.536865234375
1717507811.7153285,1448658,2452.149658203125
1717507813.087899,1452132,2460.79931640625
1717507813.7758708,1453869,2445.9716796875
1717507815.8733604,1459080,2406.38427734375
1717507816.5840616,1460817,2381.867919921875
1717507818.9948845,1466028,2311.46240234375
1717507820.6234539,1469502,2350.6630859375
1717507824.1054149,1478187,2358.01953125
1717507824.788805,1479924,2364.143310546875
1717507826.8688085,1485135,2386.70361328125
1717507828.9344022,1490346,2400.5888671875
1717507830.9813094,1495557,2356.5966796875
1717507832.315653,1499031,2387.625244140625
1717507834.4349787,1504242,2397.8857421875
1717507835.1032763,1505979,2380.4462890625
1717507837.776317,1512927,2391.359130859375
1717507838.4452004,1514664,2374.83154296875
1717507847.211753,1537245,2474.56884765625
1717507848.563611,1540719,2470.35400390625
1717507851.258525,1547667,2432.173095703125
1717507852.6836927,1551141,2439.461181640625
1717507854.7278357,1556352,2472.59814453125
1717507856.0888624,1559826,2477.7236328125
1717507856.7587996,1561563,2464.2099609375
1717507858.7859182,1566774,2474.892578125
1717507859.4725418,1568511,2478.762451171875
1717507862.849277,1577196,2453.4970703125
1717507863.5216258,1578933,2453.248291015625
1717507864.8746412,1582407,2437.886962890625
1717507865.542652,1584144,2456.37353515625
1717507867.5524127,1589355,2440.527099609375
1717507870.2677104,1596303,2507.6845703125
1717507870.9326403,1598040,2514.925048828125
1717507872.315341,1601514,2533.0966796875
1717507877.023637,1613673,2573.26123046875
1717507878.361624,1617147,2581.781494140625
1717507879.030502,1618884,2590.740966796875
1717507879.7185972,1620621,2580.41162109375
1717507884.4994774,1632780,2578.557373046875
1717507886.5027282,1637991,2583.635009765625
1717507888.5181737,1643202,2546.11962890625
1717507891.2445035,1650150,2524.77099609375
1717507893.4295928,1655361,2499.2978515625
1717507895.5254195,1660572,2481.882080078125
1717507899.0100236,1669257,2463.45751953125
1717507901.340515,1674468,2387.1611328125
1717507903.1087224,1677942,2339.969970703125
1717507904.4645977,1681416,2308.798828125
1717507905.1484282,1683153,2313.048828125
1717507912.0064757,1700523,2275.993896484375
1717507912.6845727,1702260,2282.4599609375
1717507914.7172503,1707471,2285.325927734375
1717507917.4425318,1714419,2338.9892578125
1717507920.164077,1721367,2314.105712890625
1717507921.5256858,1724841,2283.6455078125
1717507922.88836,1728315,2287.22509765625
1717507924.2888098,1731789,2299.38232421875
1717507925.6574204,1735263,2291.416259765625
1717507926.3564885,1737000,2300.15234375
1717507928.4327822,1742211,2271.883056640625
1717507929.1142435,1743948,2283.279296875
1717507929.8316033,1745685,2298.289306640625
1717507931.1972013,1749159,2325.12109375
1717507934.6024137,1757844,2268.956787109375
1717507935.9781132,1761318,2237.145263671875
1717507937.375778,1764792,2214.917236328125
1717507942.2147696,1776951,2226.246337890625
1717507944.9520438,1783899,2249.232421875
1717507946.3093703,1787373,2235.862060546875
1717507951.1384876,1799532,2304.600341796875
1717507951.8340242,1801269,2300.97412109375
1717507952.5257359,1803006,2307.142822265625
1717507953.1992018,1804743,2307.861328125
1717507953.860707,1806480,2305.932373046875
1717507956.558763,1813428,2304.4794921875
1717507958.567081,1818639,2307.0986328125
1717507965.4890866,1836009,2374.058837890625
1717507966.8362396,1839483,2352.227294921875
1717507968.2966626,1842957,2373.076171875
1717507969.8611822,1846431,2398.010986328125
1717507972.1588879,1851642,2394.91552734375
1717507973.5538223,1855116,2400.013671875
1717507974.9558284,1858590,2412.85498046875
1717507975.6409256,1860327,2417.1806640625
1717507976.3301063,1862064,2431.03125
1717507977.0089803,1863801,2407.116455078125
1717507977.6955678,1865538,2406.965087890625
1717507978.4189343,1867275,2404.20263671875
1717507980.5022569,1872486,2432.936279296875
1717507982.5683303,1877697,2461.12451171875
1717507986.0096102,1886382,2429.91943359375
1717507986.6995285,1888119,2446.777587890625
1717507987.4009085,1889856,2445.774169921875
1717507990.1410458,1896804,2456.695068359375
1717507995.0074928,1908963,2462.0224609375
1717507996.4519253,1912437,2458.669677734375
1717507997.8140934,1915911,2489.38818359375
1717507998.5070157,1917648,2480.59521484375
1717507999.2203012,1919385,2468.66796875
1717508001.2840226,1924596,2470.81494140625
1717508002.6803412,1928070,2473.289306640625
1717508004.1569936,1931544,2469.292724609375
