Wall time,Step,Value
1717511534.73273,6948,1274.960205078125
1717511535.4522617,8685,1115.244873046875
1717511540.0843256,19107,1299.6856689453125
1717511542.8740659,26055,1312.07958984375
1717511543.5651152,27792,1275.0406494140625
1717511545.651505,33003,1312.98779296875
1717511546.3467422,34740,1298.699951171875
1717511547.0402818,36477,1485.8289794921875
1717511548.4229696,39951,1479.1876220703125
1717511549.1182458,41688,1496.355224609375
1717511551.1905403,46899,1524.674072265625
1717511551.8772418,48636,1522.570556640625
1717511559.3665519,67743,1571.97802734375
1717511560.7014172,71217,1596.0528564453125
1717511565.525855,83376,1593.27587890625
1717511566.20098,85113,1592.67041015625
1717511566.8713994,86850,1596.695556640625
1717511568.2191596,90324,1576.7464599609375
1717511570.2544503,95535,1671.40576171875
1717511572.284935,100746,1725.646240234375
1717511574.3147686,105957,1691.063232421875
1717511574.9924877,107694,1681.7838134765625
1717511575.6666636,109431,1663.252685546875
1717511576.351934,111168,1651.380859375
1717511577.701109,114642,1640.2923583984375
1717511578.3744853,116379,1625.08154296875
1717511579.052425,118116,1614.556884765625
1717511579.7282038,119853,1636.79931640625
1717511581.078733,123327,1644.33984375
1717511581.7559183,125064,1643.2049560546875
1717511585.8130043,135486,1680.2523193359375
1717511587.1584258,138960,1681.6387939453125
1717511589.2219923,144171,1701.6610107421875
1717511591.35979,149382,1693.8851318359375
1717511594.0672886,156330,1680.33154296875
1717511600.854033,173700,1753.1705322265625
1717511603.5638523,180648,1771.01806640625
1717511605.5947363,185859,1786.8486328125
1717511606.270579,187596,1798.809814453125
1717511607.6238527,191070,1779.6617431640625
1717511612.4811194,203229,1841.1748046875
1717511615.9525912,211914,1857.6812744140625
1717511618.6684883,218862,1883.6552734375
1717511619.3424015,220599,1879.4281005859375
1717511620.683784,224073,1886.630126953125
1717511622.032188,227547,1878.3306884765625
1717511626.2249231,237969,1863.9169921875
1717511626.915552,239706,1862.928955078125
1717511631.639178,251865,1845.6376953125
1717511633.0835176,255339,1852.6500244140625
1717511633.8567007,257076,1851.6021728515625
1717511636.148538,262287,1895.64404296875
1717511641.6957226,274446,1836.9700927734375
1717511643.9304016,279657,1856.396240234375
1717511645.36907,283131,1892.896240234375
1717511646.8472242,286605,1882.1319580078125
1717511651.4698448,297027,1886.6859130859375
1717511652.2504559,298764,1851.680419921875
1717511652.9678373,300501,1837.129638671875
1717511656.6706567,309186,1866.3905029296875
